,footprint,op_intensity,profiler_miss,suite,bench,kernel
parboil#bfs#BFS_in_GPU_kernel,12425636,29.692616981924427,0.5821000000000001,parboil,bfs,BFS_in_GPU_kernel
parboil#cutcp#cuda_cutoff_potential_lattice6overlap,3354752,13.557211389496496,0.42289999999999994,parboil,cutcp,cuda_cutoff_potential_lattice6overlap
parboil#histo#histo_intermediates_kernel,8286720,12.583333333333334,0.5718,parboil,histo,histo_intermediates_kernel
parboil#histo#histo_prescan_kernel,4143368,10.255003706449221,0.43299999999999994,parboil,histo,histo_prescan_kernel
parboil#lbm#performStreamCollide_kernel,388300800,5.661677765906933,1.0,parboil,lbm,performStreamCollide_kernel
parboil#mri-g#binning_kernel,152098004,5.574170646479548,0.7022999999999999,parboil,mri-g,binning_kernel
parboil#mri-g#scan_L1_kernel,166020,47.407272727272726,1.0,parboil,mri-g,scan_L1_kernel
parboil#mri-g#scan_inter1_kernel,512,38.16015625,0.5556000000000001,parboil,mri-g,scan_inter1_kernel
parboil#mri-g#scan_inter2_kernel,512,29.721875,0.5556000000000001,parboil,mri-g,scan_inter2_kernel
parboil#mri-g#splitRearrange,42660592,38.961796636456164,0.8976999999999999,parboil,mri-g,splitRearrange
parboil#mri-g#splitSort,21413312,157.57110998424852,1.0,parboil,mri-g,splitSort
parboil#mri-g#uniformAdd,166532,7.556069308480535,1.0,parboil,mri-g,uniformAdd
parboil#mri-q#ComputePhiMag_GPU,36864,6.0,1.0,parboil,mri-q,ComputePhiMag_GPU
parboil#mri-q#ComputeQ_GPU,655360,204.6740791585915,1.0,parboil,mri-q,ComputeQ_GPU
parboil#sad#larger_sad_calc_16,8897328,1.7706422018348624,0.5566,parboil,sad,larger_sad_calc_16
parboil#sad#larger_sad_calc_8,8897328,2.0837920489296637,0.8624,parboil,sad,larger_sad_calc_8
parboil#sad#mb_sad_calc,8948016,223.2632258064516,0.6159000000000001,parboil,sad,mb_sad_calc
parboil#sgemm#mysgemmNT,192512,51.00714285714286,1.0,parboil,sgemm,mysgemmNT
parboil#stencil#block2D_hybrid_coarsen_x,4194304,23.255397235224805,1.0,parboil,stencil,block2D_hybrid_coarsen_x
polybench_gpu#2dconv#Convolution2D_kernel,8388608,4.606561134493204,0.3554999999999999,polybench_gpu,2dconv,Convolution2D_kernel
polybench_gpu#3dconv#convolution3D_kernel,134217728,5.610654721309443,0.6327,polybench_gpu,3dconv,convolution3D_kernel
polybench_gpu#atax#atax_kernel1,1052672,2.011711125569291,0.9485,polybench_gpu,atax,atax_kernel1
polybench_gpu#atax#atax_kernel2,1052672,2.0097592713077423,0.5024,polybench_gpu,atax,atax_kernel2
polybench_gpu#corr#mean_kernel,16801800,2.504392386530015,0.5693999999999999,polybench_gpu,corr,mean_kernel
polybench_gpu#corr#reduce_kernel,16809996,8.4,0.3627,polybench_gpu,corr,reduce_kernel
polybench_gpu#corr#std_kernel,16809996,2.337292547998698,0.2831999999999999,polybench_gpu,corr,std_kernel
polybench_gpu#covar#mean_kernel,16801800,2.504392386530015,0.5696,polybench_gpu,covar,mean_kernel
polybench_gpu#covar#reduce_kernel,16801800,12.333333333333334,0.5186,polybench_gpu,covar,reduce_kernel
polybench_gpu#fdtd2d#fdtd_step1_kernel,50350032,9.002075702075702,0.7044,polybench_gpu,fdtd2d,fdtd_step1_kernel
polybench_gpu#fdtd2d#fdtd_step2_kernel,50348032,10.253175378602833,0.7635000000000001,polybench_gpu,fdtd2d,fdtd_step2_kernel
polybench_gpu#fdtd2d#fdtd_step3_kernel,50348032,6.833333333333333,0.6174,polybench_gpu,fdtd2d,fdtd_step3_kernel
polybench_gpu#gemm#gemm_kernel,786432,2.709090909090909,0.25150000000000006,polybench_gpu,gemm,gemm_kernel
polybench_gpu#gesummv#gesummv_kernel,527360,1.013170731707317,0.974,polybench_gpu,gesummv,gesummv_kernel
polybench_gpu#syr2k#syr2k_kernel,196608,2.8551401869158877,0.3215,polybench_gpu,syr2k,syr2k_kernel
polybench_gpu#syrk#syrk_kernel,131072,2.7512953367875648,0.09950000000000003,polybench_gpu,syrk,syrk_kernel
