,profiler_miss,model_comp_miss,model_uncomp_miss,model_miss,suite,bench,kernel
parboil#bfs#BFS_in_GPU_kernel,0.5424,0.2303,0.4407,0.671,parboil,bfs,BFS_in_GPU_kernel
parboil#cutcp#cuda_cutoff_potential_lattice6overlap,0.4765999999999999,0.3291,0.0,0.3291,parboil,cutcp,cuda_cutoff_potential_lattice6overlap
parboil#histo#histo_final_kernel,0.7173,0.6834,0.0,0.6834,parboil,histo,histo_final_kernel
parboil#histo#histo_intermediates_kernel,0.5832999999999999,0.6658,0.0,0.6658,parboil,histo,histo_intermediates_kernel
parboil#histo#histo_main_kernel,0.5,0.5,0.0,0.5,parboil,histo,histo_main_kernel
parboil#histo#histo_prescan_kernel,0.2106999999999999,0.1824,0.0,0.1824,parboil,histo,histo_prescan_kernel
parboil#lbm#performStreamCollide_kernel,0.5,0.5,0.0,0.5,parboil,lbm,performStreamCollide_kernel
parboil#mri-g#binning_kernel,0.36740000000000006,0.4453,0.5157,0.9610000000000001,parboil,mri-g,binning_kernel
parboil#mri-g#scan_L1_kernel,0.501,0.5,0.0,0.5,parboil,mri-g,scan_L1_kernel
parboil#mri-g#scan_inter1_kernel,0.7778,0.5,0.0,0.5,parboil,mri-g,scan_inter1_kernel
parboil#mri-g#scan_inter2_kernel,0.7778,0.5,0.0,0.5,parboil,mri-g,scan_inter2_kernel
parboil#mri-g#splitRearrange,0.9961,1.0,0.0,1.0,parboil,mri-g,splitRearrange
parboil#mri-g#splitSort,0.994,1.0,0.0,1.0,parboil,mri-g,splitSort
parboil#mri-g#uniformAdd,0.501,0.502,0.0,0.502,parboil,mri-g,uniformAdd
parboil#mri-q#ComputePhiMag_GPU,0.5,0.5,0.0,0.5,parboil,mri-q,ComputePhiMag_GPU
parboil#mri-q#ComputeQ_GPU,0.5,0.5,0.0,0.5,parboil,mri-q,ComputeQ_GPU
parboil#sad#larger_sad_calc_16,0.5374000000000001,0.5018,0.0018,0.5036,parboil,sad,larger_sad_calc_16
parboil#sad#larger_sad_calc_8,0.5382,0.5005,0.0032,0.5036999999999999,parboil,sad,larger_sad_calc_8
parboil#sad#mb_sad_calc,0.016199999999999992,0.003,0.0,0.003,parboil,sad,mb_sad_calc
parboil#sgemm#mysgemmNT,0.5,0.5,0.0,0.5,parboil,sgemm,mysgemmNT
parboil#stencil#block2D_hybrid_coarsen_x,0.5118,0.5191,0.0,0.5191,parboil,stencil,block2D_hybrid_coarsen_x
polybench_gpu#2dconv#Convolution2D_kernel,0.12400000000000011,0.0775,0.0,0.0775,polybench_gpu,2dconv,Convolution2D_kernel
polybench_gpu#3dconv#convolution3D_kernel,0.20689999999999997,0.1594,0.0715,0.2309,polybench_gpu,3dconv,convolution3D_kernel
polybench_gpu#atax#atax_kernel1,0.8221,0.1005,0.7025,0.803,polybench_gpu,atax,atax_kernel1
polybench_gpu#atax#atax_kernel2,0.40090000000000003,0.2512,0.0,0.2512,polybench_gpu,atax,atax_kernel2
polybench_gpu#corr#mean_kernel,0.46719999999999995,0.3736,0.0,0.3736,polybench_gpu,corr,mean_kernel
polybench_gpu#corr#reduce_kernel,0.3223999999999999,0.1466,0.0,0.1466,polybench_gpu,corr,reduce_kernel
polybench_gpu#corr#std_kernel,0.3118000000000001,0.1788,0.0,0.1788,polybench_gpu,corr,std_kernel
polybench_gpu#covar#mean_kernel,0.46719999999999995,0.3736,0.0,0.3736,polybench_gpu,covar,mean_kernel
polybench_gpu#covar#reduce_kernel,0.35420000000000007,0.2208,0.0,0.2208,polybench_gpu,covar,reduce_kernel
polybench_gpu#fdtd2d#fdtd_step1_kernel,0.39049999999999996,0.3541,0.0,0.3541,polybench_gpu,fdtd2d,fdtd_step1_kernel
polybench_gpu#fdtd2d#fdtd_step2_kernel,0.3983,0.3182,0.0,0.3182,polybench_gpu,fdtd2d,fdtd_step2_kernel
polybench_gpu#fdtd2d#fdtd_step3_kernel,0.34299999999999997,0.2935,0.0,0.2935,polybench_gpu,fdtd2d,fdtd_step3_kernel
polybench_gpu#gemm#gemm_kernel,0.21760000000000002,0.037,0.0,0.037,polybench_gpu,gemm,gemm_kernel
polybench_gpu#gesummv#gesummv_kernel,0.7724,0.0838,0.6076,0.6914,polybench_gpu,gesummv,gesummv_kernel
polybench_gpu#syr2k#syr2k_kernel,0.0623999999999999,0.0137,0.0332,0.0469,polybench_gpu,syr2k,syr2k_kernel
polybench_gpu#syrk#syrk_kernel,0.10270000000000001,0.014,0.0,0.014,polybench_gpu,syrk,syrk_kernel
